Roll No,Course Code,Slot,Inst name
33730030,ME799,NA,DUGC_ME
33730060,ME799,NA,DUGC_ME
33740040,ME799,NA,DUGC_ME
33910070,CY799,NA,DPGC_CY
33910130,CS799,NA,DUGC_CSE
33910220,CY799,NA,DPGC_CY
33910250,MA799,NA,DPGC MA
33920100,EE799,NA,DPGC_EE
33030010,EE799,NA,DPGC_EE
33030040,CS799,NA,DUGC_CSE
33030080,PH799,NA,DPGC_PH
33030090,CS799,NA,DUGC_CSE
33030100,ME799,NA,DUGC_ME
33030110,PH799,NA,DPGC_PH
33030360,ME799,NA,DUGC_ME
33030380,CS799,NA,DUGC_CSE
33030390,MA799,NA,DPGC MA
33030400,EE799,NA,DPGC_EE
33060820,ME232,A,Dr. Ganesh Kolappan Geetha
33060820,ME560,B,Dr. Rahul Jain
33060820,ME615,L,Dr. Nagesh Debidas Patil
33060820,MT253,F,Dr. Jose Immanuel R
33061040,CS599,NA,DUGC_CSE
78940010,CY799,NA,DPGC_CY
78940030,LA799,NA,DPGC_LA
78940040,LA799,NA,DPGC_LA
78940060,ME799,NA,DUGC_ME
78940080,LA799,NA,DPGC_LA
78940130,PH799,NA,DPGC_PH
78940150,CS799,NA,DUGC_CSE
78940170,MA799,NA,DPGC MA
78940400,ME799,NA,DUGC_ME
78940420,PH799,NA,DPGC_PH
78970020,CS516,C,Dr. Vishwesh Jatala
78970020,EE572,D,Dr. Avishek Adhikary
78970020,LA365,K3,Dr. Anindita Ghosh
78970020,MT251,B,Prof. Santosh Biswas
78970020,TP605,E,Dr. Suchetan Pal
78970030,CS254,A23,Dr. Souradyuti Paul
78970030,EE572,D,Dr. Avishek Adhikary
78970030,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970030,LA365,K3,Dr. Anindita Ghosh
78970030,TP624,J23,Dr. Rajkumar Eslavath
78970040,CS554,M,Dr. Souradyuti Paul
78970040,EE572,D,Dr. Avishek Adhikary
78970040,LA365,K3,Dr. Anindita Ghosh
78970040,ME560,B,Dr. Rahul Jain
78970040,TP624,J23,Dr. Rajkumar Eslavath
78970050,CS516,C,Dr. Vishwesh Jatala
78970050,CS559,A,Dr. Gaganraj Gupta
78970050,DS200,E,Dr. Subhajit Sidhanta
78970050,EE572,D,Dr. Avishek Adhikary
78970050,LA303,K1,Ms. Hao Yu Lu
78970050,LA315,K1,Ms. Hao Yu Lu
78970050,TP624,J23,Dr. Rajkumar Eslavath
78970060,CS502,A,Dr. I. Vinod Kumar Reddy
78970060,CS516,C,Dr. Vishwesh Jatala
78970060,EE572,D,Dr. Avishek Adhikary
78970060,MA510,G,Dr. Raj Kumar Mistri
78970060,TP624,J23,Dr. Rajkumar Eslavath
78970070,CS251,D23,Dr. Vishwesh Jatala
78970070,CS252,E12,Dr. I. Vinod Kumar Reddy
78970070,CS516,C,Dr. Vishwesh Jatala
78970070,CS559,A,Dr. Gaganraj Gupta
78970070,LA365,K3,Dr. Anindita Ghosh
78970070,TP624,J23,Dr. Rajkumar Eslavath
78970090,CS554,M,Dr. Souradyuti Paul
78970090,CS559,A,Dr. Gaganraj Gupta
78970090,EE572,D,Dr. Avishek Adhikary
78970090,TP624,J23,Dr. Rajkumar Eslavath
78970100,CS251,D23,Dr. Vishwesh Jatala
78970100,CS252,E12,Dr. I. Vinod Kumar Reddy
78970100,CS502,A,Dr. I. Vinod Kumar Reddy
78970100,CS516,C,Dr. Vishwesh Jatala
78970100,LA365,K3,Dr. Anindita Ghosh
78970100,MT251,B,Prof. Santosh Biswas
78970110,CS254,A23,Dr. Souradyuti Paul
78970110,EE572,D,Dr. Avishek Adhikary
78970110,EE575,F,Dr.Shashank Kurm/Dr. Sachin Jain
78970110,LA365,K3,Dr. Anindita Ghosh
78970110,TP624,J23,Dr. Rajkumar Eslavath
78970120,CS516,C,Dr. Vishwesh Jatala
78970120,CS552,E,Dr. Rishi Ranjan Singh
78970120,CS607,D,Dr. Sk Subidh Ali
78970120,LA303,K1,Ms. Hao Yu Lu
78970120,LA351,J2,Dr. Sruthi Vinayan
78970130,CS502,A,Dr. I. Vinod Kumar Reddy
78970130,CS516,C,Dr. Vishwesh Jatala
78970130,EE572,D,Dr. Avishek Adhikary
